Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score
wcf,2008-08-07 02:50:13.320,2009-07,9340.96,7.88,2.64,1398,Low
spn,2008-09-02 03:41:06.880,2008-09,6282.0,6.0,2.0,1,Low
visual-studio,2008-08-03 14:53:53.550,2009-07,13333.39,18.97,4.06,2499,Low
brief-bookmarks,2008-09-02 03:49:17.920,2008-09,3474.0,7.0,8.0,1,Low
c#,2008-07-31 21:42:52.667,2009-07,20482.05,19.63,4.1,34374,Low
web-services,2008-08-01 04:59:33.643,2009-06,10678.61,7.98,3.17,1192,Low
database-design,2008-08-05 15:45:02.930,2009-07,10560.04,13.03,5.09,616,Low
sql,2008-08-01 12:35:56.917,2009-07,41048.25,25.49,4.73,7013,Low
oracle,2008-08-02 01:52:54.653,2009-07,28057.69,10.24,3.68,1114,Low
hierarchy,2008-09-02 04:10:50.413,2009-02,5921.43,5.28,3.52,46,Low
oop,2008-08-01 16:10:30.337,2009-02,26731.84,45.39,6.43,762,Low
c++,2008-08-01 12:13:50.207,2009-07,23809.79,25.52,5.12,11255,Low
full-text-search,2008-08-04 05:51:56.683,2009-06,6590.57,8.59,2.93,147,Low
lucene.net,2008-09-02 04:36:54.623,2009-07,3673.09,5.61,2.28,57,Low
asp.net,2008-08-01 19:23:13.117,2009-07,8551.88,6.32,3.19,11392,Low
wiki,2008-08-08 04:42:52.123,2009-06,4442.81,6.53,5.02,64,Low
javascript,2008-08-03 21:42:37.903,2009-07,61195.78,59.52,4.94,11176,Low
encryption,2008-08-06 21:18:47.357,2009-08,20140.55,21.03,4.21,292,Low
com,2008-08-02 11:52:01.543,2009-06,5621.6,5.57,2.55,412,Low
ole,2008-09-02 04:52:52.027,2008-11,3159.85,2.85,2.05,39,Low
security,2008-08-02 02:41:34.493,2009-07,11439.15,19.88,4.61,1109,Low
cryptography,2008-08-23 04:37:51.270,2009-06,29178.81,23.39,4.02,135,Low
hardware,2008-08-12 06:18:08.680,2009-02,5034.13,4.96,4.09,105,Low
windows,2008-08-01 15:22:29.467,2009-07,33978.84,22.88,4.39,3090,Low
iphelper,2008-08-31 12:35:30.310,2008-09,15793.5,6.5,8.5,2,Low
database,2008-08-01 14:19:52.510,2009-07,21481.03,22.04,4.86,2300,Low
indexing,2008-08-04 11:21:26.567,2009-06,92602.32,74.12,4.7,210,Low
php,2008-08-01 12:50:18.587,2009-07,18462.56,13.73,4.17,11718,Low
code-injection,2008-09-02 05:24:28.893,2009-06,12151.48,9.65,4.0,31,Low
sql-server,2008-08-01 18:33:08.333,2009-07,26575.04,16.9,3.93,4483,Low
ruby-on-rails,2008-08-02 12:56:58.590,2009-07,7896.37,11.51,3.24,4026,Low
authentication,2008-08-03 11:21:54.520,2009-07,10700.83,11.44,3.08,510,Low
plugins,2008-08-09 17:51:09.313,2009-07,25959.92,18.38,3.38,285,Low
eclipse,2008-08-01 13:56:33.837,2009-07,20163.63,23.0,3.89,928,Low
eclipse-3.4,2008-08-08 18:17:50.460,2008-09,18056.48,22.24,4.59,29,Low
smtp,2008-08-27 12:40:40.373,2009-02,30600.45,13.13,4.1,123,Low
macos,2008-08-04 18:51:38.543,2009-05,19802.37,21.79,4.19,987,Low
java,2008-08-01 16:08:52.353,2009-07,32957.48,28.58,4.68,17168,Low
perl,2008-08-06 02:53:13.033,2009-07,11891.31,10.78,4.37,1494,Low
cross-platform,2008-08-02 06:57:57.957,2008-09,24958.13,24.65,5.96,170,Low
osx-leopard,2008-09-02 07:11:40.867,2009-05,8480.67,8.58,4.27,33,Low
io,2008-08-04 14:56:57.490,2009-05,70287.08,85.39,5.72,112,Low
python,2008-08-02 03:35:55.697,2009-07,71758.89,70.81,5.16,8539,Low
merge,2008-08-26 16:48:51.113,2009-07,60024.48,85.42,4.54,134,Low
regex,2008-08-04 13:47:10.547,2009-06,37794.63,33.06,5.12,1409,Low
css,2008-08-03 21:42:37.903,2009-07,36005.21,28.67,4.75,2442,Low
unit-testing,2008-08-02 21:34:24.223,2009-07,10705.27,21.54,5.48,951,Low
wamp,2008-09-02 08:14:54.833,2009-05,23592.0,3.16,4.32,19,Low
visual-studio-2008,2008-08-05 16:18:18.853,2009-07,6924.43,6.58,3.25,1683,Low
automation,2008-08-15 06:08:55.243,2009-06,12473.89,9.05,3.94,201,Low
jboss,2008-08-11 22:53:50.883,2009-05,8803.5,4.52,2.57,187,Low
jndi,2008-09-02 08:55:32.413,2008-10,8316.17,3.17,2.76,41,Low
rpn,2008-09-02 09:01:50.137,2008-09,4553.67,3.33,4.33,3,Low
.net,2008-08-01 00:59:11.177,2009-07,9752.68,11.11,3.61,11006,Low
dll,2008-08-14 12:41:43.190,2009-07,15370.63,12.46,3.45,359,Low
resx,2008-09-02 09:05:04.433,2009-06,15861.6,14.75,2.4,20,Low
directx,2008-08-07 15:23:28.883,2009-08,4567.35,4.39,2.93,83,Low
networking,2008-08-07 10:20:16.687,2008-09,25509.68,18.43,4.25,464,Low
throttling,2008-09-02 09:41:23.410,2009-03,29250.86,32.21,4.21,14,Low
swing,2008-08-27 03:06:06.760,2009-06,19846.76,9.8,3.73,202,Low
linker,2008-08-08 13:13:08.920,2009-01,24182.42,21.85,3.53,166,Low
treeview,2008-08-05 16:21:14.120,2009-06,8052.65,3.9,2.42,165,Low
testing,2008-08-02 21:34:24.223,2009-07,10916.11,15.49,4.92,570,Low
class-library,2008-09-02 09:49:42.640,2009-05,11022.95,9.0,2.75,20,Low
ssh,2008-08-12 21:56:10.050,2009-06,43330.6,34.31,5.28,95,Low
version-control,2008-08-04 19:04:47.347,2008-09,11536.78,25.3,5.85,728,Low
revision-history,2008-09-02 10:06:25.487,2008-09,231211.5,278.0,5.5,2,Low
intellij-idea,2008-08-17 17:31:38.380,2009-06,30121.27,65.62,4.7,60,Low
deployment,2008-08-02 23:30:59.090,2009-07,9254.09,9.83,3.64,425,Low
performance,2008-08-01 05:21:22.257,2009-07,19303.38,27.04,5.5,1400,Low
exception,2008-08-04 01:15:38.067,2009-07,26000.23,34.36,4.97,588,Low
gcc,2008-08-29 16:57:47.920,2009-07,28440.08,25.45,4.1,268,Low
portability,2008-09-02 10:57:10.873,2009-08,10383.23,11.94,5.15,48,Low
vba,2008-08-22 13:24:24.697,2009-07,25683.05,7.28,3.3,662,Low
outlook-2007,2008-09-02 11:09:51.450,2009-05,7380.05,5.0,3.05,21,Low
