Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score,Tag Rank (Top 100),Tag Usage %
c#,2008-07-31 21:42:52.667,2009-07,20482.05,19.63,4.1,34374,Low,1.0,8.1757
java,2008-08-01 16:08:52.353,2009-07,32957.48,28.58,4.68,17168,Low,2.0,4.0833
php,2008-08-01 12:50:18.587,2009-07,18462.56,13.73,4.17,11718,Low,3.0,2.7871
asp.net,2008-08-01 19:23:13.117,2009-07,8551.88,6.32,3.19,11392,Low,4.0,2.7095
c++,2008-08-01 12:13:50.207,2009-07,23809.79,25.52,5.12,11255,Low,5.0,2.677
javascript,2008-08-03 21:42:37.903,2009-07,61195.78,59.52,4.94,11176,Low,6.0,2.6582
.net,2008-08-01 00:59:11.177,2009-07,9752.68,11.11,3.61,11006,Low,7.0,2.6177
python,2008-08-02 03:35:55.697,2009-07,71758.89,70.81,5.16,8539,Low,8.0,2.031
sql,2008-08-01 12:35:56.917,2009-07,41048.25,25.49,4.73,7013,Low,9.0,1.668
iphone,2008-08-04 19:02:36.777,2009-07,8445.97,7.46,3.03,6533,Low,10.0,1.5538
sql-server,2008-08-01 18:33:08.333,2009-07,26575.04,16.9,3.93,4483,Low,11.0,1.0663
jquery,2008-08-12 11:11:29.680,2009-07,25444.63,15.24,3.44,4397,Low,12.0,1.0458
ruby-on-rails,2008-08-02 12:56:58.590,2009-07,7896.37,11.51,3.24,4026,Low,13.0,0.9576
html,2008-07-31 22:08:08.620,2009-07,48897.03,39.63,5.14,3914,Low,14.0,0.9309
asp.net-mvc,2008-08-06 21:43:33.923,2009-07,8912.38,9.65,2.94,3557,Low,15.0,0.846
wpf,2008-08-11 01:34:34.773,2009-07,13026.03,11.86,2.78,3360,Low,16.0,0.7992
c,2008-08-01 23:27:24.993,2009-07,30904.81,26.1,5.57,3268,Low,17.0,0.7773
windows,2008-08-01 15:22:29.467,2009-07,33978.84,22.88,4.39,3090,Low,18.0,0.7349
mysql,2008-08-01 05:09:55.993,2009-07,32744.59,26.57,4.01,3076,Low,19.0,0.7316
visual-studio,2008-08-03 14:53:53.550,2009-07,13333.39,18.97,4.06,2499,Low,20.0,0.5944
css,2008-08-03 21:42:37.903,2009-07,36005.21,28.67,4.75,2442,Low,21.0,0.5808
vb.net,2008-08-01 12:43:11.503,2009-08,11882.26,7.59,3.24,2424,Low,22.0,0.5765
database,2008-08-01 14:19:52.510,2009-07,21481.03,22.04,4.86,2300,Low,23.0,0.547
xml,2008-08-01 15:50:08.537,2009-07,14742.47,11.09,3.28,1974,Low,24.0,0.4695
ruby,2008-08-01 13:38:27.133,2009-07,17025.13,25.25,3.97,1912,Low,25.0,0.4548
apache-flex,2008-08-01 12:30:57.630,2009-07,3707.39,2.26,2.61,1900,Low,26.0,0.4519
objective-c,2008-08-12 15:31:40.200,2009-07,15093.82,20.06,3.51,1887,Low,27.0,0.4488
linux,2008-08-01 14:36:18.640,2009-06,43883.56,36.09,5.05,1882,Low,28.0,0.4476
svn,2008-08-01 14:41:24.277,2009-07,18138.48,21.23,4.87,1786,Low,29.0,0.4248
delphi,2008-08-12 12:10:14.663,2009-07,6567.0,5.97,3.76,1729,Low,30.0,0.4112
sharepoint,2008-08-06 17:27:19.883,2009-07,5868.47,2.47,2.6,1684,Low,31.0,0.4005
visual-studio-2008,2008-08-05 16:18:18.853,2009-07,6924.43,6.58,3.25,1683,Low,32.0,0.4003
perl,2008-08-06 02:53:13.033,2009-07,11891.31,10.78,4.37,1494,Low,33.0,0.3553
algorithm,2008-08-01 18:42:19.343,2009-08,25771.8,36.93,7.15,1462,Low,34.0,0.3477
winforms,2008-08-05 20:05:22.077,2009-07,15680.6,10.8,3.57,1454,Low,35.0,0.3458
regex,2008-08-04 13:47:10.547,2009-06,37794.63,33.06,5.12,1409,Low,36.0,0.3351
performance,2008-08-01 05:21:22.257,2009-07,19303.38,27.04,5.5,1400,Low,37.0,0.333
wcf,2008-08-07 02:50:13.320,2009-07,9340.96,7.88,2.64,1398,Low,38.0,0.3325
sql-server-2005,2008-08-01 22:13:34.100,2009-07,25508.53,15.18,3.68,1301,Low,39.0,0.3094
flash,2008-08-04 05:35:52.240,2009-07,4919.47,2.55,2.73,1299,Low,40.0,0.309
ajax,2008-08-04 17:53:32.500,2009-06,15379.86,17.14,3.4,1255,Low,41.0,0.2985
linq,2008-08-01 13:20:46.890,2009-05,15975.82,17.82,3.23,1231,Low,42.0,0.2928
web-services,2008-08-01 04:59:33.643,2009-06,10678.61,7.98,3.17,1192,Low,43.0,0.2835
silverlight,2008-08-04 19:13:54.693,2009-07,3810.06,3.52,2.64,1163,Low,44.0,0.2766
oracle,2008-08-02 01:52:54.653,2009-07,28057.69,10.24,3.68,1114,Low,45.0,0.265
security,2008-08-02 02:41:34.493,2009-07,11439.15,19.88,4.61,1109,Low,46.0,0.2638
django,2008-08-21 19:41:57.870,2009-07,12503.46,15.37,3.26,1107,Low,47.0,0.2633
language-agnostic,2008-08-01 05:21:22.257,2008-09,22427.31,52.79,9.62,1053,Low,48.0,0.2505
macos,2008-08-04 18:51:38.543,2009-05,19802.37,21.79,4.19,987,Low,49.0,0.2348
nhibernate,2008-08-20 14:48:00.377,2009-07,4574.18,5.24,2.29,981,Low,50.0,0.2333
user-interface,2008-08-05 10:06:33.020,2009-06,10513.27,13.45,4.85,971,Low,51.0,0.2309
cocoa,2008-08-09 03:13:04.000,2009-07,8654.23,13.99,2.99,960,Low,52.0,0.2283
unit-testing,2008-08-02 21:34:24.223,2009-07,10705.27,21.54,5.48,951,Low,53.0,0.2262
linq-to-sql,2008-08-05 05:54:34.697,2009-07,7006.65,7.74,2.83,950,Low,54.0,0.226
cocoa-touch,2008-08-14 09:51:06.207,2009-02,16823.71,20.94,3.99,942,Low,55.0,0.2241
eclipse,2008-08-01 13:56:33.837,2009-07,20163.63,23.0,3.89,928,Low,56.0,0.2207
multithreading,2008-08-04 07:30:01.727,2009-04,15159.47,22.1,4.35,914,Low,57.0,0.2174
winapi,2008-08-05 09:34:49.073,2009-07,9975.81,7.69,3.44,884,Low,58.0,0.2103
debugging,2008-08-03 23:18:21.627,2009-06,17589.6,19.35,4.48,882,Low,59.0,0.2098
t-sql,2008-08-05 18:15:47.727,2009-06,72891.49,42.11,5.2,869,Low,60.0,0.2067
excel,2008-08-05 16:47:28.873,2009-07,33981.86,12.64,3.74,852,Low,61.0,0.2026
apache,2008-08-05 21:45:11.033,2009-07,17032.0,11.41,3.03,834,Low,62.0,0.1984
git,2008-08-05 18:29:14.283,2009-08,186858.37,351.93,6.83,832,Low,63.0,0.1979
string,2008-08-02 06:57:57.957,2009-07,63238.05,60.63,6.32,771,Low,64.0,0.1834
actionscript-3,2008-08-05 16:09:12.570,2009-06,5253.01,2.98,2.9,763,Low,65.0,0.1815
oop,2008-08-01 16:10:30.337,2009-02,26731.84,45.39,6.43,762,Low,66.0,0.1812
internet-explorer,2008-08-02 12:12:02.363,2009-08,13022.47,8.91,3.75,740,Low,67.0,0.176
version-control,2008-08-04 19:04:47.347,2008-09,11536.78,25.3,5.85,728,Low,68.0,0.1732
design-patterns,2008-08-05 10:06:33.020,2009-06,16092.35,37.77,5.31,719,Low,69.0,0.171
ms-access,2008-08-08 12:30:48.633,2009-07,11395.59,3.61,3.48,699,Low,70.0,0.1663
iis,2008-08-05 16:18:18.853,2009-03,10763.03,7.11,3.11,685,Low,71.0,0.1629
vba,2008-08-22 13:24:24.697,2009-07,25683.05,7.28,3.3,662,Low,72.0,0.1575
bash,2008-08-11 10:40:41.363,2009-06,102973.03,126.7,7.0,620,Low,73.0,0.1475
database-design,2008-08-05 15:45:02.930,2009-07,10560.04,13.03,5.09,616,Low,74.0,0.1465
exception,2008-08-04 01:15:38.067,2009-07,26000.23,34.36,4.97,588,Low,75.0,0.1399
image,2008-08-02 17:01:58.500,2009-07,25665.0,17.02,4.09,576,Low,76.0,0.137
testing,2008-08-02 21:34:24.223,2009-07,10916.11,15.49,4.92,570,Low,77.0,0.1356
http,2008-08-02 12:56:58.590,2009-06,41293.22,60.33,4.2,559,Low,78.0,0.133
parsing,2008-08-05 23:49:53.560,2009-07,24343.3,18.04,4.53,552,Low,79.0,0.1313
events,2008-08-08 17:32:41.783,2009-07,16595.57,15.41,3.3,551,Low,80.0,0.1311
visual-c++,2008-08-01 14:36:18.640,2009-07,11215.43,7.98,3.4,538,Low,81.0,0.128
file,2008-08-01 17:13:08.933,2009-06,32925.07,31.43,4.64,533,Low,82.0,0.1268
android,2008-08-26 15:30:38.367,2009-07,60268.37,82.56,5.15,531,Low,83.0,0.1263
unix,2008-08-04 07:34:44.137,2009-05,56507.35,63.6,5.64,526,Low,84.0,0.1251
entity-framework,2008-08-14 00:24:43.320,2009-06,10991.87,11.0,2.9,525,Low,85.0,0.1249
web-applications,2008-08-04 12:22:07.910,2009-07,8681.96,10.6,4.34,524,Low,86.0,0.1246
vim,2008-08-18 10:08:09.447,2009-07,44447.32,81.92,6.41,521,Low,87.0,0.1239
authentication,2008-08-03 11:21:54.520,2009-07,10700.83,11.44,3.08,510,Low,88.0,0.1213
validation,2008-08-04 16:44:25.167,2009-06,23341.91,17.85,3.96,510,Low,89.0,0.1213
forms,2008-08-02 19:51:50.250,2009-07,28740.35,32.09,4.11,502,Low,90.0,0.1194
ios,2008-08-02 10:47:08.460,2009-06,72306.62,109.59,8.87,495,Low,91.0,0.1177
firefox,2008-08-08 06:37:32.113,2009-07,12848.85,10.14,3.51,494,Low,92.0,0.1175
optimization,2008-08-05 12:00:28.733,2009-07,19082.65,25.53,6.22,493,Low,93.0,0.1173
reporting-services,2008-08-07 20:24:34.003,2009-06,11111.48,4.32,2.62,492,Low,94.0,0.117
.net-3.5,2008-08-01 13:14:33.797,2009-04,13799.37,12.93,3.4,486,Low,95.0,0.1156
arrays,2008-08-01 12:30:57.630,2009-07,45055.6,30.62,4.96,483,Low,96.0,0.1149
data-binding,2008-08-02 16:09:56.780,2009-07,12131.7,7.71,2.81,481,Low,97.0,0.1144
email,2008-08-02 08:19:18.260,2009-07,16561.47,13.18,3.99,481,Low,98.0,0.1144
hibernate,2008-08-25 17:25:22.610,2009-05,12772.98,7.99,2.7,472,Low,99.0,0.1123
installation,2008-08-06 15:25:51.237,2009-07,11703.92,8.81,3.48,472,Low,100.0,0.1123
c#,2008-07-31 21:42:52.667,2009-07,20482.05,19.63,4.1,34374,Low,1.0,8.1757
java,2008-08-01 16:08:52.353,2009-07,32957.48,28.58,4.68,17168,Low,2.0,4.0833
php,2008-08-01 12:50:18.587,2009-07,18462.56,13.73,4.17,11718,Low,3.0,2.7871
asp.net,2008-08-01 19:23:13.117,2009-07,8551.88,6.32,3.19,11392,Low,4.0,2.7095
c++,2008-08-01 12:13:50.207,2009-07,23809.79,25.52,5.12,11255,Low,5.0,2.677
javascript,2008-08-03 21:42:37.903,2009-07,61195.78,59.52,4.94,11176,Low,6.0,2.6582
.net,2008-08-01 00:59:11.177,2009-07,9752.68,11.11,3.61,11006,Low,7.0,2.6177
python,2008-08-02 03:35:55.697,2009-07,71758.89,70.81,5.16,8539,Low,8.0,2.031
sql,2008-08-01 12:35:56.917,2009-07,41048.25,25.49,4.73,7013,Low,9.0,1.668
