Tag,Count,Percentage
c#,34374,8.18
java,17168,4.08
php,11718,2.79
asp.net,11392,2.71
c++,11255,2.68
javascript,11176,2.66
.net,11006,2.62
python,8539,2.03
sql,7013,1.67
iphone,6533,1.55
sql-server,4483,1.07
jquery,4397,1.05
ruby-on-rails,4026,0.96
html,3914,0.93
asp.net-mvc,3557,0.85
wpf,3360,0.8
c,3268,0.78
windows,3090,0.73
mysql,3076,0.73
visual-studio,2499,0.59
css,2442,0.58
vb.net,2424,0.58
database,2300,0.55
xml,1974,0.47
ruby,1912,0.45
apache-flex,1900,0.45
objective-c,1887,0.45
linux,1882,0.45
svn,1786,0.42
delphi,1729,0.41
sharepoint,1684,0.4
visual-studio-2008,1683,0.4
perl,1494,0.36
algorithm,1462,0.35
winforms,1454,0.35
regex,1409,0.34
performance,1400,0.33
wcf,1398,0.33
sql-server-2005,1301,0.31
flash,1299,0.31
ajax,1255,0.3
linq,1231,0.29
web-services,1192,0.28
silverlight,1163,0.28
oracle,1114,0.26
security,1109,0.26
django,1107,0.26
language-agnostic,1053,0.25
macos,987,0.23
nhibernate,981,0.23
